video_id,video_name,ball,segment_id,release_frame,batter_keypoints_path,trigger_detected,predicted_trigger_frames,trigger_start_frame,trigger_end_frame,trigger_confidence,trigger_decision_reason,status
5a6ce153-df78-40af-93e5-405f760e711d,5a6ce153-df78-40af-93e5-405f760e711d_3.mp4,3,8d6448e6-80c1-4724-b010-a514eae43ead,88,trigger_detection/data/batsman_keypoints/8d6448e6-80c1-4724-b010-a514eae43ead_batter_keypoints.csv,True,"[75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",75.0,86.0,15.995082129624118,actual_trigger,processed
5a6ce153-df78-40af-93e5-405f760e711d,5a6ce153-df78-40af-93e5-405f760e711d_31.mp4,31,378c6cce-6116-4dda-945f-45e21eed60e7,93,trigger_detection/data/batsman_keypoints/378c6cce-6116-4dda-945f-45e21eed60e7_batter_keypoints.csv,True,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",70.0,81.0,11.857608743745756,actual_trigger,processed
5a6ce153-df78-40af-93e5-405f760e711d,5a6ce153-df78-40af-93e5-405f760e711d_32.mp4,32,ca08e889-4c7b-4a00-9820-6e26c8f3caae,81,trigger_detection/data/batsman_keypoints/ca08e889-4c7b-4a00-9820-6e26c8f3caae_batter_keypoints.csv,True,"[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73]",62.0,73.0,17.635651807271636,actual_trigger,processed
5a6ce153-df78-40af-93e5-405f760e711d,5a6ce153-df78-40af-93e5-405f760e711d_4.mp4,4,04359a12-ac24-4ac2-8bd6-70312cc092a1,92,trigger_detection/data/batsman_keypoints/04359a12-ac24-4ac2-8bd6-70312cc092a1_batter_keypoints.csv,False,[],,,0.0,insufficient_factor_change_vs_preload,processed
5a6ce153-df78-40af-93e5-405f760e711d,5a6ce153-df78-40af-93e5-405f760e711d_5.mp4,5,83ac5ebc-f594-4498-952d-2502f32576f3,79,trigger_detection/data/batsman_keypoints/83ac5ebc-f594-4498-952d-2502f32576f3_batter_keypoints.csv,False,[],,,0.0,insufficient_factor_change_vs_preload,processed
5a6ce153-df78-40af-93e5-405f760e711d,5a6ce153-df78-40af-93e5-405f760e711d_7.mp4,7,a88476f3-7d7e-44a7-beea-10d3c33dba7b,89,trigger_detection/data/batsman_keypoints/a88476f3-7d7e-44a7-beea-10d3c33dba7b_batter_keypoints.csv,False,[],,,0.0,insufficient_factor_change_vs_preload,processed
5a6ce153-df78-40af-93e5-405f760e711d,5a6ce153-df78-40af-93e5-405f760e711d_8.mp4,8,cdc10954-b1a3-4fba-b773-a558feba0b98,98,trigger_detection/data/batsman_keypoints/cdc10954-b1a3-4fba-b773-a558feba0b98_batter_keypoints.csv,True,"[85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96]",85.0,96.0,14.17734321620565,actual_trigger,processed
5a6ce153-df78-40af-93e5-405f760e711d,5a6ce153-df78-40af-93e5-405f760e711d_9.mp4,9,1521b85d-7389-4312-887e-e3dd5fdeaf9b,84,trigger_detection/data/batsman_keypoints/1521b85d-7389-4312-887e-e3dd5fdeaf9b_batter_keypoints.csv,True,"[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84]",73.0,84.0,5.2005151972547,actual_trigger,processed
7e8315a5-4a77-4263-b5e2-6e0e08f49d24,7e8315a5-4a77-4263-b5e2-6e0e08f49d24_5.mp4,5,423b0a37-c6b3-4dcc-b39b-86e1461dcbe5,62,trigger_detection/data/batsman_keypoints/423b0a37-c6b3-4dcc-b39b-86e1461dcbe5_batter_keypoints.csv,True,"[35, 36, 37, 38, 39]",35.0,39.0,7.519478648733354,actual_trigger,processed
9fbcf9db-53e4-450a-ad35-217b61a7b20d,9fbcf9db-53e4-450a-ad35-217b61a7b20d_6.mp4,6,3e1ffca9-2470-4033-b580-69c442930a4e,84,trigger_detection/data/batsman_keypoints/3e1ffca9-2470-4033-b580-69c442930a4e_batter_keypoints.csv,True,"[80, 81, 82, 83, 84]",80.0,84.0,5.380537873298563,actual_trigger,processed
