video_id,frame_no,left_wrist_speed,right_wrist_speed,wrist_speed_max,left_elbow_speed,right_elbow_speed,elbow_speed_max,left_elbow_angle,right_elbow_angle,left_elbow_joint_angle,right_elbow_joint_angle,left_arm_length,right_arm_length,left_forearm_length,right_forearm_length,left_shoulder_wrist_dist,right_shoulder_wrist_dist,left_wrist_height_rel,right_wrist_height_rel,bat_arm_wrist_speed,bat_arm_elbow_speed,bat_arm_elbow_angle,bat_arm_extension,arm_activity_score,shoulder_line_angle,hip_line_angle,hip_shoulder_separation,trunk_lean,shoulder_rotation_change,left_shoulder_speed,right_shoulder_speed,shoulder_speed_max,body_center_x,body_center_y,body_center_speed,upper_body_rotation,lower_body_rotation,left_knee_speed,right_knee_speed,knee_speed_max,left_ankle_speed,right_ankle_speed,ankle_speed_max,left_knee_angle,right_knee_angle,front_knee_angle,back_knee_angle,left_hip_speed,right_hip_speed,hip_speed_max,head_movement,head_speed,left_eye_speed,right_eye_speed,eye_separation,head_orientation_angle,left_ear_speed,right_ear_speed,ear_separation,wrist_height_change,pose_activity_score,impact_like_frame_flag
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,0,0.0,0.0,0.0,0.0,0.0,0.0,75.98890181354216,69.18203357449809,154.20852739928856,144.224940285923,26.664931403890847,26.00269368516557,10.84718350935876,10.117854148451311,26.664931403890847,26.00269368516557,-26.605804443359375,-25.77008056640625,0.0,0.0,144.224940285923,26.00269368516557,0.0,-176.22523106314864,179.32651741318836,355.551748476337,-119.55945704478059,0.0,0.0,0.0,0.0,193.4393310546875,342.56809997558594,0.0,-176.22523106314864,179.32651741318836,0.0,0.0,0.0,0.0,0.0,0.0,153.7892607918985,164.82821995077785,164.82821995077785,153.7892607918985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.20225118517031,-174.7370537165268,0.0,0.0,6.996940642471058,0.0,0.0,0
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,1,19.032254362249457,18.02906996262601,19.032254362249457,11.667690978457115,4.716451495283546,11.667690978457115,75.86093482751409,69.04702029910378,155.56966281967183,144.8969983237047,26.817833839426605,26.356444259377845,10.91051077006358,10.440021632383022,26.817833839426605,26.356444259377845,-26.736907958984375,-26.113433837890625,18.02906996262601,4.716451495283546,144.8969983237047,26.356444259377845,12.128466078000438,-173.84668129285478,-179.68500792424297,5.838326631388185,-120.11790280210221,2.3785497702938585,12.488383042885182,6.83694662650132,12.488383042885182,193.43673706054688,342.5907516479492,1.3281776723216825,-173.84668129285478,-179.68500792424297,2.4122304051465013,6.563798111892924,6.563798111892924,8.456968380069878,9.254155194305579,9.254155194305579,153.44436659237954,164.81074925358178,164.81074925358178,153.44436659237954,6.498781211985406,8.470846851815898,8.470846851815898,18.883082323184546,18.883082323184546,13.07287683965453,14.059437190219253,3.2421109341290153,-173.60769526149508,7.789246273061325,8.073313046385772,7.1771883125095695,-0.2974700927734375,9.535631385268236,0
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,2,13.668638596923765,11.107798897603791,13.668638596923765,20.846842169117576,34.644657017359485,34.644657017359485,76.90425848158395,69.81811042608186,156.12619128174575,144.70483550354584,26.709963802881294,26.368839343604364,10.613534382719424,10.074276656797549,26.709963802881294,26.368839343604364,-26.64996337890625,-26.147491455078125,11.107798897603791,34.644657017359485,144.70483550354584,26.368839343604364,16.639761714673728,-174.68936630875282,-179.61353210611057,4.924165797357745,-119.76382213217981,-0.8426850158980415,5.566522697861381,14.004110909176367,14.004110909176367,193.46775817871094,342.7150421142578,7.462540626460916,-174.68936630875282,-179.61353210611057,3.5335348879445725,5.696380129604269,5.696380129604269,14.048240860867377,2.3589521893381358,14.048240860867377,153.78391464748972,164.31042005474052,164.31042005474052,153.78391464748972,9.845503521755136,7.7067391262333516,9.845503521755136,22.031340687973454,22.031340687973454,23.561217756847427,17.022265878210547,3.1301874058676327,-173.768809696001,14.587345935758332,4.32750286405347,6.861757651045392,-0.089141845703125,11.918993416982099,0
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,3,4.931640468688234,10.165753557090008,10.165753557090008,23.659350206102545,14.31437533633674,23.659350206102545,77.65837449769981,70.19521596077776,158.32604816306974,146.04006051688478,26.639210932873755,26.463853936213347,10.419525061168835,10.007154833450599,26.639210932873755,26.463853936213347,-26.573150634765625,-26.23077392578125,10.165753557090008,14.31437533633674,146.04006051688478,26.463853936213347,11.847855076978343,-173.88364183342398,-179.3973913394882,5.513749506064215,-120.11669645214987,0.8057244753288444,11.579837721588202,6.436173172064333,11.579837721588202,193.4346046447754,342.7860870361328,4.567115627559562,-173.88364183342398,-179.3973913394882,2.9795986405524815,2.6578027663604233,2.9795986405524815,2.303997092297586,1.9132503888373678,2.303997092297586,153.7984131928731,164.08522056173675,164.08522056173675,153.7984131928731,2.1694910671988747,3.105272226272318,3.105272226272318,16.009642158523413,16.009642158523413,16.072082767534614,10.866140731456506,3.0432068686993783,-173.36790347216834,12.018553910668036,1.3001543919720857,6.653716151172066,-0.119720458984375,7.184711886949093,0
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,4,27.00986295994494,14.522489637274797,27.00986295994494,35.65047497040001,51.322204692875864,51.322204692875864,79.02100775034418,71.0362358515717,158.14242067385348,144.72090549659504,26.365896583074026,26.53848175646781,9.801505997486327,9.48524059621573,26.365896583074026,26.53848175646781,-26.329193115234375,-26.337799072265625,14.522489637274797,51.322204692875864,144.72090549659504,26.53848175646781,25.63097696147567,-173.73814576996145,-178.33340905805628,4.595263288094827,-119.74354387414013,0.14549606346253086,7.701898348316608,17.578931160041844,17.578931160041844,193.4847640991211,342.9182815551758,8.236598937192749,-173.73814576996145,-178.33340905805628,4.26233968315378,9.670333906636811,9.670333906636811,15.60227204546214,2.1698210041137806,15.60227204546214,154.09037022733793,163.58398429511135,163.58398429511135,154.09037022733793,11.526877248644713,6.257128086745875,11.526877248644713,36.815374662249546,36.815374662249546,38.19839839823773,25.825037550608876,2.831530247349061,-172.83726109786548,23.45779456068298,10.985966051269646,6.102385633255699,-0.06597900390625,16.939552811967594,0
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,5,47.24278278234626,21.63654019071917,47.24278278234626,37.92025173593865,58.05671480211376,58.05671480211376,80.69577347329162,72.50738362123707,156.62317980759505,142.28802320870463,25.8623261494485,26.461017682010613,8.983223666882113,8.84105257391609,25.8623261494485,26.461017682010613,-25.85479736328125,-26.3302001953125,21.63654019071917,58.05671480211376,142.28802320870463,26.461017682010613,32.038084749614605,-174.84124194365293,-177.6177238962682,2.7764819526152564,-119.43786688231295,-1.1030961736914833,6.109556336089659,21.262662650480113,21.262662650480113,193.57941055297852,343.05265045166016,9.57442608633584,-174.84124194365293,-177.6177238962682,8.757580643654913,10.877317493755179,10.877317493755179,14.897954486871896,2.756046839589717,14.897954486871896,154.007720115114,163.0432949619468,163.0432949619468,154.007720115114,9.332992209987767,8.632488815261405,9.332992209987767,34.12488533758543,34.12488533758543,35.67835269829637,25.805133117313527,2.662008243019603,-172.83750667982548,22.02075697869074,7.3764675773141395,5.622339300201532,0.0981292724609375,20.62357408223404,0
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,6,60.558783399518006,12.812608631928205,60.558783399518006,39.57724222461777,54.66658342599283,54.66658342599283,82.44863234325453,73.67966286528718,153.007218832126,138.56451043829222,25.35553275528024,26.167395919657803,8.195822362399785,8.102055584521546,25.35553275528024,26.167395919657803,-25.352508544921875,-26.08685302734375,12.812608631928205,54.66658342599283,138.56451043829222,26.167395919657803,32.91190758715319,-176.65533551879668,-177.1798776119519,0.5245420931552189,-118.94802566750587,-1.814093575143744,5.696087730262571,24.160140110599766,24.160140110599766,193.66747283935547,343.19093322753906,9.550318884206838,-176.65533551879668,-177.1798776119519,4.984431974069177,4.843466354482054,4.984431974069177,16.397846059526756,7.676102270809128,16.397846059526756,154.25904701114106,162.88629450846304,162.88629450846304,154.25904701114106,11.274251163423111,8.32673380232723,11.274251163423111,15.426600376280696,15.426600376280696,21.520282187884106,10.220640518532221,2.470269602268366,-173.5002308621938,21.77641595375078,13.400660238686406,5.027869280744472,0.2363128662109375,20.91452309562972,0
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,7,21.27089607007904,20.631822754456802,21.27089607007904,25.250511990464318,14.436323520954005,25.250511990464318,83.03719528317947,73.59833602021857,152.70948025645035,135.50747187872648,25.227281437362706,26.13186616513424,7.912457638451837,8.039886888164707,25.227281437362706,26.13186616513424,-25.220733642578125,-26.069793701171875,20.631822754456802,14.436323520954005,135.50747187872648,26.13186616513424,16.564287531507766,-175.48255436982356,-176.70094981883204,1.218395449008483,-120.07607344656559,1.1727811489731153,11.683205415230795,6.11296543786163,11.683205415230795,193.71362686157227,343.05492401123047,8.366863196550625,-175.48255436982356,-176.70094981883204,7.417206704575853,13.657068604560433,13.657068604560433,8.0309783603719,7.333588287510924,8.0309783603719,153.85799822945486,163.44227934758666,163.44227934758666,153.85799822945486,22.712759485023962,24.141138449116877,24.141138449116877,6.167073049789245,6.167073049789245,6.3196894014553475,3.5913528058484157,2.4978577004966573,-172.6267481797943,5.609787056579492,1.8314655012555163,5.110529069316228,0.0189666748046875,15.223205423350544,0
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,8,26.331837160678464,10.77958242822285,26.331837160678464,21.95812879967222,14.851087648415314,21.95812879967222,83.19732977462527,73.30658641706097,149.58530091795845,132.44342722414652,25.02735813119096,26.009379960923546,7.588872295028039,7.894905677160021,25.02735813119096,26.009379960923546,-25.011688232421875,-25.953704833984375,10.77958242822285,14.851087648415314,132.44342722414652,26.009379960923546,14.56523923852673,-174.50473408965684,-176.09300839017186,1.5882743005150246,-120.40816762693058,0.9778202801667248,9.019703679484348,4.451095714687184,9.019703679484348,193.68251419067383,343.0803527832031,2.34078752055901,-174.50473408965684,-176.09300839017186,2.5770252972101115,4.26102815559716,4.26102815559716,9.19658101096823,10.382729797279671,10.382729797279671,153.6308846266742,164.01340567288872,164.01340567288872,153.6308846266742,1.63111728635962,2.7650574261732506,2.7650574261732506,20.92419793052691,20.92419793052691,21.539002604652666,12.990967626394282,2.6569351682200164,-172.78196938107507,8.223570628480923,11.873846729177895,5.426275664008286,0.099334716796875,9.850414533729035,0
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,9,6.8801556177703045,6.49059817232241,6.8801556177703045,3.2690678169290797,6.626985884838997,6.626985884838997,82.90431962298521,72.90547657487889,148.23528579951628,130.92651743677138,24.984565707319874,25.858611596085133,7.59908725991365,7.940071725749416,24.984565707319874,25.858611596085133,-24.967498779296875,-25.8052978515625,6.49059817232241,6.626985884838997,130.92651743677138,25.858611596085133,5.318438902250467,-174.41907838069866,-176.2421440163358,1.8230656356371355,-120.5288597923216,0.08565570895817132,5.517682376448176,3.1261435451938335,5.517682376448176,193.65580368041992,343.1121063232422,2.4171875394726974,-174.41907838069866,-176.2421440163358,2.0916828080185854,6.158964173945212,6.158964173945212,5.526766252561729,5.4427553693987045,5.526766252561729,153.37437480653074,164.6295534188936,164.6295534188936,153.37437480653074,1.6057402758245554,1.267295799882395,1.6057402758245554,27.941980304869674,27.941980304869674,27.93179360818499,17.1152608069797,2.843989413797238,-173.41745632717524,13.114402479188847,11.371497206727467,5.815628350901862,0.0451507568359375,4.500319841094498,0
