video_id,frame_no,left_wrist_speed,right_wrist_speed,wrist_speed_max,left_elbow_speed,right_elbow_speed,elbow_speed_max,left_elbow_angle,right_elbow_angle,left_elbow_joint_angle,right_elbow_joint_angle,left_wrist_height_rel,right_wrist_height_rel,bat_arm_wrist_speed,bat_arm_elbow_speed,bat_arm_elbow_angle,arm_activity_score,shoulder_line_angle,hip_line_angle,hip_shoulder_separation,trunk_lean,shoulder_rotation_change,left_shoulder_speed,right_shoulder_speed,shoulder_speed_max,body_center_x,body_center_y,body_center_speed,upper_body_rotation,lower_body_rotation,left_knee_speed,right_knee_speed,knee_speed_max,left_ankle_speed,right_ankle_speed,ankle_speed_max,left_knee_angle,right_knee_angle,front_knee_angle,back_knee_angle,left_hip_speed,right_hip_speed,hip_speed_max,head_movement,head_speed,left_eye_speed,right_eye_speed,head_orientation_angle,left_ear_speed,right_ear_speed,wrist_height_change,pose_activity_score,impact_like_frame_flag
WhatsApp Video 2026-07-18 at 13.03.46,0,0.0,0.0,0.0,0.0,0.0,0.0,90.87562928095802,91.4872517879895,133.24559627145786,56.48621038214089,-16.09278106689453,-8.098861694335938,0.0,0.0,56.48621038214089,0.0,24.48302360676562,-11.87556577800973,36.35858938477535,-106.17739343951938,0.0,0.0,0.0,0.0,76.41988372802734,93.30375671386719,0.0,24.48302360676562,-11.87556577800973,0.0,0.0,0.0,0.0,0.0,0.0,153.1992989478921,152.3400575671579,152.3400575671579,153.1992989478921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.67024040722713,0.0,0.0,0.0,0.0,0
WhatsApp Video 2026-07-18 at 13.03.46,1,20.93833185886897,5.235004890341386,20.93833185886897,8.083986965130297,13.216425870506894,13.216425870506894,89.98171504259682,91.86844767097234,138.8037906291559,59.85898217929502,-16.643814086914062,-8.225929260253906,5.235004890341386,13.216425870506894,59.85898217929502,9.633610925887387,21.735111769720625,-14.359921083907972,36.095032853628595,-106.58586913974804,-2.7479118370449953,2.1412652602242788,8.186650710252488,8.186650710252488,76.6708927154541,93.26504516601562,7.61929695808367,21.735111769720625,-14.359921083907972,4.99244365991965,8.137380998770741,8.137380998770741,9.803560033503762,1.0835126868684057,9.803560033503762,152.418400416393,152.87526802574953,152.87526802574953,152.418400416393,8.392542898525523,12.08050786684492,12.08050786684492,1.7179972757330038,1.7179972757330038,2.1881545593073506,1.0426833811812835,11.788794604062554,4.363741359350845,2.0449129296724706,-0.3219261169433594,8.524301141646442,0
WhatsApp Video 2026-07-18 at 13.03.46,2,10.429310298746318,1.6943037541215908,10.429310298746318,3.9316803065698016,5.743428576349169,5.743428576349169,89.5304108842167,92.21406128943448,140.66149015380572,61.07648879827251,-16.92365264892578,-8.165573120117188,1.6943037541215908,5.743428576349169,61.07648879827251,4.578974138015885,19.84508375291466,-15.018574150843634,34.863657903758295,-106.7080470988888,-1.8900280168059638,0.6544567827280988,5.0206651095803325,5.0206651095803325,76.79240989685059,93.29030418395996,3.7234391395392157,19.84508375291466,-15.018574150843634,2.4095306748697243,8.971805361796806,8.971805361796806,4.445174352199608,2.925000264796488,4.445174352199608,152.47493751132544,153.84502949873445,153.84502949873445,152.47493751132544,3.5435095990521006,5.834725906414919,5.834725906414919,1.0253102322126146,1.0253102322126146,1.4495067876517194,0.7448231686009144,113.66758390102451,2.528778018580594,1.2064109499995044,-0.1280059814453125,4.633632582268746,0
WhatsApp Video 2026-07-18 at 13.03.46,3,20.030216301750336,56.95438348482032,56.95438348482032,7.3941780491883975,16.77375647172337,16.77375647172337,88.83556085301197,90.24248305983349,144.50745421719094,69.22806236715837,-17.126876831054688,-9.70928955078125,56.95438348482032,16.77375647172337,69.22806236715837,18.76402147731675,12.44995882192348,-17.99798228684352,30.447941108766997,-106.64095420547287,-7.395124930991182,7.7497984337725585,3.681796122645502,7.7497984337725585,76.8234806060791,93.45398330688477,4.9980616070689505,12.44995882192348,-17.99798228684352,5.229814994289455,13.644263437380511,13.644263437380511,6.480699227685658,4.307254144214159,6.480699227685658,153.19551399938916,155.41170185289133,155.41170185289133,153.19551399938916,5.255528263559357,3.656170354145302,5.255528263559357,5.127993088220231,5.127993088220231,6.096553591696386,2.467113317565491,164.86119891949124,4.9101863269237525,4.071991374365742,-1.0534896850585938,12.596488273764578,0
WhatsApp Video 2026-07-18 at 13.03.46,4,22.340719407322247,59.47861229544062,59.47861229544062,6.201279812440375,19.41960649495394,19.41960649495394,88.43231109761106,87.79681413138077,149.13399608918772,80.52896515375873,-17.55475616455078,-11.363433837890625,59.47861229544062,19.41960649495394,80.52896515375873,19.466046879709467,6.758600368487764,-21.57501094179478,28.333611310282542,-106.46840293842587,-5.691358453435715,5.997545567653417,3.358517700446206,5.997545567653417,76.86036491394043,93.56151390075684,3.410418259744752,6.758600368487764,-21.57501094179478,2.196140299163012,9.825330996510155,9.825330996510155,4.200766549848234,2.5667819783418957,4.200766549848234,153.24364046461957,156.5566519362948,156.5566519362948,153.24364046461957,3.5003904900544427,1.7819138882977898,3.5003904900544427,5.347206922559405,5.347206922559405,7.357870958621788,2.4130178743074095,170.596538801405,8.131658788604877,5.838588102971075,-1.1685600280761719,11.738967123372694,0
WhatsApp Video 2026-07-18 at 13.03.46,5,32.346371503641414,57.782652643464466,57.782652643464466,8.245347906714564,16.25498024977749,16.25498024977749,87.2099344287431,85.01077467191831,153.99055642944285,92.80553764852816,-18.34796142578125,-12.997718811035156,57.782652643464466,16.25498024977749,92.80553764852816,20.269553592450446,2.817914553345458,-25.320646985431942,28.1385615387774,-106.91442715967996,-3.9406858151423063,4.487307033418866,2.500662217685872,4.487307033418866,76.92939567565918,93.6418342590332,3.1772543831747786,2.817914553345458,-25.320646985431942,2.5839875360716085,8.509781185313871,8.509781185313871,1.9985522074453157,3.090180278788474,3.090180278788474,152.88296828563648,157.39731332605703,157.39731332605703,152.88296828563648,6.2367478221078105,3.860053857590099,6.2367478221078105,4.2351518183511105,4.2351518183511105,6.727225619194306,3.059534397532374,176.27696390090642,7.637232919552414,9.736527104733458,-1.3214073181152344,12.324718703501654,0
WhatsApp Video 2026-07-18 at 13.03.46,6,3.7035918628070785,49.60703741766348,49.60703741766348,4.441060421238592,13.207610889621119,13.207610889621119,87.28720012523243,82.31047687517015,152.3149856696986,101.72751981874055,-18.029403686523438,-14.358070373535156,49.60703741766348,13.207610889621119,101.72751981874055,13.872231338923442,-5.428450431465691,-31.46032778705541,26.031877355589717,-106.46596469492395,-8.24636498481115,6.567378274568599,5.7067091676417965,6.567378274568599,76.77583122253418,93.8097038269043,6.825394477444308,-5.428450431465691,-31.46032778705541,6.220353304673711,9.325858926328245,9.325858926328245,3.6244162867556677,2.7922221635197544,3.6244162867556677,153.04889611126524,157.79149496509342,157.79149496509342,153.04889611126524,7.883633181722422,11.099137519415464,11.099137519415464,3.641703791710227,3.641703791710227,5.202534025450609,1.5493459831712366,177.42559201819847,8.664923728000968,7.403401612034291,-0.6647224426269531,10.348250784662993,0
WhatsApp Video 2026-07-18 at 13.03.46,7,12.551905485915903,55.32570670450285,55.32570670450285,7.1635197035681095,16.14358996759167,16.14358996759167,87.7573483422216,79.70808808646059,150.18112668507203,111.07355715666135,-17.414138793945312,-15.946250915527344,55.32570670450285,16.14358996759167,111.07355715666135,17.21256763459297,-15.233966757885335,-35.1796071626276,19.945640404742264,-106.26292632660389,-9.805516326419644,7.343131050223414,4.747552895755874,7.343131050223414,76.63615417480469,93.95616340637207,6.0715794874376385,-15.233966757885335,-35.1796071626276,3.2842799602296333,3.387770114523981,3.387770114523981,1.7519782520648421,3.462236877638568,3.462236877638568,152.6414787797496,157.66940912609917,157.66940912609917,152.6414787797496,6.338818913596106,7.381840841322869,7.381840841322869,3.2522910577227426,3.2522910577227426,4.696066747009315,1.6982959582643842,177.80739379039684,7.2500470642174895,8.36032647064052,-0.6565170288085938,10.740194230577819,0
WhatsApp Video 2026-07-18 at 13.03.46,8,12.783545602827228,15.038597870746223,15.038597870746223,4.102053397893781,5.330151063331599,5.330151063331599,87.36617470026161,80.00511839851947,150.68380749243772,112.31972183321369,-17.939590454101562,-16.41473388671875,15.038597870746223,5.330151063331599,112.31972183321369,6.856659916165263,-9.669822173839046,-35.740362333259455,26.07054015942041,-106.62837374483334,5.564144584046289,3.0292458067625465,0.8563657554302065,3.0292458067625465,76.72488212585449,93.87354850769043,3.637043263903642,-9.669822173839046,-35.740362333259455,6.761779053878211,8.441948891255684,8.441948891255684,6.925023546379496,6.438409739424848,6.925023546379496,151.39446591246983,157.6822664902463,157.6822664902463,151.39446591246983,6.124724300664508,5.495880980938227,6.124724300664508,1.7841811403259225,1.7841811403259225,1.6497139224089887,3.2754980862532355,178.32060012168566,4.276525420380993,6.754529095403197,-0.43669891357421875,6.777310500794379,0
WhatsApp Video 2026-07-18 at 13.03.46,9,10.886716466609338,12.536880416658121,12.536880416658121,5.351657950331468,1.8079664240367304,5.351657950331468,87.06223430374004,79.94509235492214,153.44183655410362,114.29907963306651,-18.35364532470703,-16.823684692382812,12.536880416658121,1.8079664240367304,114.29907963306651,6.2716549292355035,-4.585168799574786,-28.129612649218362,23.544443849643578,-106.51101131092962,5.08465337426426,5.81072313428059,1.2359851834967737,5.81072313428059,76.64552116394043,93.91584587097168,2.6978706964612265,-4.585168799574786,-28.129612649218362,0.8229613431748329,3.0946953152890404,3.0946953152890404,2.7677495198104385,1.8028468236951236,2.7677495198104385,151.45721712423673,158.13405972365496,158.13405972365496,151.45721712423673,5.766376336828738,3.5221738913832636,5.766376336828738,2.5244098313737013,2.5244098313737013,2.5378267073079472,2.515272388315036,178.20901730697489,3.0626233391791655,2.356745984349746,-0.38816070556640625,4.617227733799537,0
