video_id,frame_no,fps,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,0,54.852635824507416,186.1260223388672,285.89495849609375,187.88348388671875,283.78192138671875,184.7759246826172,283.6088562011719,191.0946807861328,284.9183044433594,184.1317596435547,284.06719970703125,194.8359832763672,296.0807800292969,186.42758178710938,295.68218994140625,196.70526123046875,311.8700866699219,189.62945556640625,311.06231689453125,192.3797607421875,323.8321228027344,187.8238067626953,321.9202880859375,204.37985229492188,318.71417236328125,198.75450134277344,318.75738525390625,198.23348999023438,341.22332763671875,196.92800903320312,341.08111572265625,197.88304138183594,366.6982421875,197.16433715820312,365.8037414550781
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,1,54.852635824507416,185.8323211669922,285.7431640625,187.46034240722656,283.6332702636719,184.7149200439453,283.47210693359375,190.58363342285156,284.7630310058594,184.59695434570312,283.9317321777344,194.75244140625,296.0219421386719,186.6048126220703,295.70269775390625,196.69671630859375,311.8353576660156,189.7009735107422,311.2516174316406,192.34263610839844,323.8126220703125,187.88931274414062,322.109619140625,204.33343505859375,318.6755065917969,198.87930297851562,318.73565673828125,198.310302734375,341.1120300292969,196.76153564453125,340.9852294921875,197.87074279785156,366.7415771484375,197.24014282226562,365.8659362792969
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,2,54.852635824507416,185.89471435546875,285.6905212402344,187.5358428955078,283.57183837890625,184.74278259277344,283.4148864746094,190.6593780517578,284.70611572265625,184.5473175048828,283.89007568359375,194.786865234375,295.9980163574219,186.56365966796875,295.7129211425781,196.70156860351562,311.8401184082031,189.72772216796875,311.3133544921875,192.35995483398438,323.81591796875,187.93777465820312,322.2276306152344,204.34371948242188,318.676025390625,198.83181762695312,318.7640380859375,198.34046936035156,341.06134033203125,196.7130126953125,341.0185852050781,197.92222595214844,366.7103271484375,197.25125122070312,365.96728515625
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,3,54.852635824507416,185.9099884033203,285.6247253417969,187.5421905517578,283.4974365234375,184.77279663085938,283.3417053222656,190.6468963623047,284.6249694824219,184.6004180908203,283.8141174316406,194.81640625,295.97540283203125,186.54727172851562,295.7192077636719,196.711181640625,311.87078857421875,189.8052520751953,311.41015625,192.3651580810547,323.8258361816406,188.0214385986328,322.39373779296875,204.35267639160156,318.6918029785156,198.79676818847656,318.8028564453125,198.39938354492188,341.0010681152344,196.57583618164062,341.0450744628906,197.96142578125,366.70233154296875,197.25730895996094,366.10546875
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,4,54.852635824507416,185.85865783691406,285.6043701171875,187.51876831054688,283.4635314941406,184.7074432373047,283.3165588378906,190.7053985595703,284.59515380859375,184.55252075195312,283.8043212890625,194.8580322265625,295.9689025878906,186.56488037109375,295.7568664550781,196.6807861328125,311.8627014160156,189.86373901367188,311.4714050292969,192.37428283691406,323.81103515625,188.1313018798828,322.5007629394531,204.38116455078125,318.6834411621094,198.80535888671875,318.8282470703125,198.43702697753906,340.9225769042969,196.54925537109375,341.082275390625,197.97486877441406,366.6470642089844,197.3031463623047,366.2273254394531
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,5,54.852635824507416,185.7915496826172,285.4515075683594,187.49276733398438,283.30535888671875,184.63131713867188,283.1512451171875,190.75802612304688,284.4760437011719,184.48011779785156,283.6632080078125,194.84182739257812,295.917236328125,186.52870178222656,295.6960754394531,196.6458740234375,311.8153991699219,189.78411865234375,311.41900634765625,192.3906707763672,323.81268310546875,188.1428680419922,322.5097961425781,204.35874938964844,318.7019958496094,198.7762451171875,318.8578796386719,198.3939666748047,341.01776123046875,196.56298828125,341.2358093261719,197.99844360351562,366.7060241699219,197.32745361328125,366.37628173828125
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,6,54.852635824507416,185.92843627929688,285.363037109375,187.7747802734375,283.20892333984375,184.60379028320312,283.0309143066406,191.20355224609375,284.428955078125,184.09771728515625,283.56072998046875,194.93804931640625,295.9053039550781,186.35060119628906,295.60693359375,196.6283416748047,311.86138916015625,189.68255615234375,311.29925537109375,192.3875732421875,323.8355712890625,187.99070739746094,322.46112060546875,204.38833618164062,318.7676696777344,198.62619018554688,318.9110412597656,198.3151397705078,341.0768737792969,196.60281372070312,341.3275146484375,197.99581909179688,366.6553039550781,197.3007354736328,366.4002990722656
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,7,54.852635824507416,185.8657684326172,285.31365966796875,187.76429748535156,283.1658630371094,184.54417419433594,282.9668273925781,191.295166015625,284.3957824707031,184.04527282714844,283.4698181152344,194.97288513183594,295.8774719238281,186.2785186767578,295.498291015625,196.63023376464844,311.8611755371094,189.50448608398438,311.1207275390625,192.32676696777344,323.8320007324219,187.73902893066406,322.2646789550781,204.35177612304688,318.8139953613281,198.52957153320312,318.931396484375,198.27073669433594,341.1098327636719,196.58106994628906,341.3628234863281,197.9389190673828,366.61431884765625,197.29705810546875,366.398193359375
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,8,54.852635824507416,185.765380859375,285.1513977050781,187.70028686523438,283.0061340332031,184.44888305664062,282.79156494140625,191.30368041992188,284.2780456542969,183.9681396484375,283.3097229003906,194.96383666992188,295.82965087890625,186.18246459960938,295.4015808105469,196.63502502441406,311.843505859375,189.33340454101562,310.974365234375,192.2691650390625,323.82684326171875,187.48599243164062,322.0755920410156,204.3096160888672,318.8459777832031,198.43836975097656,318.9532165527344,198.23684692382812,341.1036682128906,196.55612182617188,341.3879699707031,197.906005859375,366.5752258300781,197.2926483154297,366.4360656738281
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,9,54.852635824507416,185.72235107421875,285.00042724609375,187.6692352294922,282.8633728027344,184.43606567382812,282.62835693359375,191.28189086914062,284.1575927734375,183.98306274414062,283.13616943359375,194.96031188964844,295.76934814453125,186.05335998535156,295.2795715332031,196.65643310546875,311.8319091796875,189.0623016357422,310.8236999511719,192.2334442138672,323.8277893066406,187.13710021972656,321.83319091796875,204.2569122314453,318.89312744140625,198.31112670898438,318.9825439453125,198.22433471679688,341.1343688964844,196.4842987060547,341.40899658203125,197.89903259277344,366.5818176269531,197.28550720214844,366.45806884765625
